,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,TCS.NS,AXISBANK.NS,KOTAKBANK.NS,BHARTIARTL.NS
2020-03-19,895.5499877929688,909.0828247070312,338.54998779296875,545.5499877929688,161.85000610351562,843.0999755859375,1636.3499755859375,428.25,1210.8499755859375,444.75
2020-03-20,882.8499755859375,1008.3914794921875,345.70001220703125,585.2000122070312,175.5,864.7000122070312,1797.449951171875,428.1499938964844,1262.3499755859375,462.6499938964844
2020-03-23,771.5499877929688,875.748779296875,284.0,526.4500122070312,154.3000030517578,724.0499877929688,1669.699951171875,308.6499938964844,1098.25,407.3500061035156
2020-03-24,767.7000122070312,934.54150390625,296.5,589.7999877929688,149.6999969482422,707.9000244140625,1703.1500244140625,303.1499938964844,1152.9000244140625,404.04998779296875
2020-03-25,856.75,1072.087646484375,316.8999938964844,606.2000122070312,147.35000610351562,765.75,1750.300048828125,326.79998779296875,1290.1500244140625,429.1000061035156
2020-03-26,901.0999755859375,1056.1883544921875,330.25,643.0,156.39999389648438,838.0,1790.949951171875,341.3999938964844,1372.949951171875,470.70001220703125
2020-03-27,904.4500122070312,1055.593994140625,339.8500061035156,652.7000122070312,163.1999969482422,837.0499877929688,1824.5,359.75,1399.0999755859375,448.95001220703125
2020-03-30,831.6500244140625,1020.7741088867188,313.3999938964844,626.7000122070312,159.1999969482422,798.6500244140625,1778.5,368.1499938964844,1293.699951171875,431.04998779296875
2020-03-31,861.9000244140625,1103.2918701171875,323.75,641.5,171.6999969482422,808.5,1826.0999755859375,379.0,1296.050048828125,440.8999938964844
2020-04-01,829.6500244140625,1070.3045654296875,311.1499938964844,602.7999877929688,166.39999389648438,774.3499755859375,1708.75,358.6499938964844,1181.6500244140625,421.3500061035156
2020-04-03,813.8499755859375,1067.332763671875,286.6499938964844,585.7000122070312,177.89999389648438,774.6500244140625,1654.199951171875,325.45001220703125,1140.8499755859375,423.95001220703125
2020-04-07,896.0999755859375,1194.7747802734375,326.1000061035156,639.0,181.5500030517578,801.6500244140625,1775.199951171875,388.8500061035156,1198.050048828125,470.20001220703125
2020-04-08,888.9000244140625,1180.9556884765625,318.95001220703125,631.5999755859375,178.64999389648438,807.0999755859375,1705.449951171875,391.3500061035156,1187.6500244140625,461.6499938964844
2020-04-09,925.0499877929688,1208.49462890625,342.70001220703125,636.25,185.25,812.7999877929688,1766.1500244140625,420.1499938964844,1272.9000244140625,488.70001220703125
2020-04-13,895.3499755859375,1177.98388671875,330.6499938964844,637.4000244140625,181.60000610351562,865.4500122070312,1759.25,418.95001220703125,1250.9000244140625,512.2000122070312
2020-04-15,863.2999877929688,1139.0528564453125,327.3500061035156,639.0499877929688,189.35000610351562,880.1500244140625,1735.1500244140625,417.29998779296875,1173.75,510.5
2020-04-16,879.75,1157.08203125,342.0,623.8499755859375,186.35000610351562,911.6500244140625,1716.050048828125,422.54998779296875,1130.8499755859375,500.45001220703125
2020-04-17,910.2999877929688,1212.506591796875,375.54998779296875,628.75,188.10000610351562,932.9000244140625,1806.199951171875,478.79998779296875,1186.25,502.45001220703125
2020-04-20,944.8499755859375,1232.1207275390625,361.29998779296875,653.2999877929688,180.6999969482422,915.5999755859375,1818.6500244140625,455.95001220703125,1177.75,490.29998779296875
2020-04-21,921.6500244140625,1225.7313232421875,331.8500061035156,633.2000122070312,179.60000610351562,870.3499755859375,1737.6500244140625,420.6499938964844,1130.1500244140625,500.5
2020-04-22,928.5999755859375,1350.7957763671875,335.95001220703125,641.8499755859375,182.25,852.5999755859375,1769.5,431.1499938964844,1152.1500244140625,501.3999938964844
2020-04-23,954.9500122070312,1358.0272216796875,352.95001220703125,679.2999877929688,180.5500030517578,840.5999755859375,1878.25,430.04998779296875,1249.6500244140625,496.0
2020-04-24,938.0499877929688,1403.6943359375,334.8500061035156,658.0,180.0500030517578,851.2000122070312,1818.550048828125,403.95001220703125,1239.550048828125,494.25
2020-04-27,929.7000122070312,1416.32470703125,347.8999938964844,664.5999755859375,179.85000610351562,855.25,1836.5999755859375,427.29998779296875,1303.5999755859375,494.04998779296875
2020-04-28,931.4000244140625,1414.7396240234375,359.8500061035156,660.7000122070312,179.4499969482422,857.1500244140625,1859.050048828125,455.45001220703125,1326.6500244140625,485.6499938964844
2020-04-29,977.0999755859375,1413.5509033203125,370.45001220703125,676.5499877929688,182.14999389648438,875.3499755859375,1905.6500244140625,439.1000061035156,1327.8499755859375,496.0
2020-04-30,1001.7999877929688,1452.2342529296875,380.1499938964844,715.5,182.0500030517578,897.5499877929688,2014.449951171875,444.8999938964844,1357.199951171875,514.2999877929688
2020-05-04,923.0,1421.7235107421875,338.04998779296875,673.7000122070312,174.0500030517578,850.6500244140625,1930.449951171875,402.79998779296875,1277.800048828125,532.5
2020-05-05,911.4500122070312,1446.9344482421875,330.8500061035156,673.7000122070312,173.89999389648438,836.9000244140625,1932.75,389.0,1238.3499755859375,528.0499877929688
2020-05-06,946.4000244140625,1447.0335693359375,341.3999938964844,665.9000244140625,163.89999389648438,837.2999877929688,1903.5999755859375,388.8500061035156,1245.949951171875,546.0
2020-05-07,925.0,1492.7998046875,336.75,664.9500122070312,161.0,822.8499755859375,1891.6500244140625,397.3500061035156,1199.800048828125,528.0499877929688
2020-05-08,929.0499877929688,1547.134765625,337.70001220703125,674.2000122070312,158.25,815.9500122070312,1893.4000244140625,382.04998779296875,1217.449951171875,530.0499877929688
2020-05-11,915.7999877929688,1561.993896484375,320.1499938964844,682.9000244140625,158.4499969482422,821.5999755859375,1935.300048828125,379.54998779296875,1188.449951171875,536.2000122070312
2020-05-12,901.5499877929688,1465.35986328125,321.20001220703125,687.6500244140625,165.0500030517578,814.7999877929688,1949.5,386.8500061035156,1157.199951171875,559.8499755859375
2020-05-13,927.6500244140625,1496.449951171875,338.04998779296875,694.1500244140625,165.39999389648438,862.9000244140625,1949.6500244140625,414.0,1186.699951171875,555.9500122070312
2020-05-14,893.7000122070312,1435.949951171875,327.3999938964844,658.1500244140625,163.8000030517578,871.6500244140625,1902.3499755859375,401.95001220703125,1173.0999755859375,539.8499755859375
2020-05-15,888.1500244140625,1459.4000244140625,322.70001220703125,652.2999877929688,164.64999389648438,864.4000244140625,1892.9000244140625,388.54998779296875,1178.300048828125,554.0999755859375
2020-05-18,836.6500244140625,1440.75,298.5,663.9000244140625,164.75,813.3499755859375,1945.5999755859375,358.79998779296875,1113.6500244140625,538.0499877929688
2020-05-19,830.6500244140625,1408.9000244140625,300.29998779296875,668.5999755859375,170.75,796.3499755859375,1948.6500244140625,354.5,1130.449951171875,598.7999877929688
2020-05-20,857.0999755859375,1433.699951171875,305.6499938964844,669.5499877929688,175.75,835.0,1953.5999755859375,362.5,1160.0999755859375,594.0499877929688
2020-05-21,859.5499877929688,1441.25,304.3999938964844,672.2000122070312,188.9499969482422,820.5,1991.199951171875,357.20001220703125,1150.25,594.5499877929688
2020-05-22,838.8499755859375,1431.550048828125,291.04998779296875,692.3499755859375,186.35000610351562,815.7000122070312,2020.3499755859375,336.95001220703125,1160.199951171875,593.2000122070312
2020-05-26,852.4000244140625,1424.050048828125,292.70001220703125,680.5499877929688,191.6999969482422,825.5499877929688,1943.0,341.29998779296875,1153.199951171875,559.25
2020-05-27,903.6500244140625,1445.550048828125,318.8500061035156,705.4500122070312,192.14999389648438,850.8499755859375,2005.300048828125,387.0,1217.550048828125,563.0999755859375
2020-05-28,945.25,1472.25,326.8500061035156,707.4000244140625,190.64999389648438,905.5,2004.300048828125,390.95001220703125,1229.449951171875,562.75
2020-05-29,951.6500244140625,1464.4000244140625,331.95001220703125,691.0,197.35000610351562,932.25,1972.3499755859375,384.95001220703125,1224.0,552.5999755859375
2020-06-01,987.6500244140625,1520.3499755859375,339.25,699.5499877929688,200.5500030517578,928.1500244140625,2045.25,396.95001220703125,1248.4000244140625,559.0499877929688
2020-06-02,1001.0,1535.699951171875,348.3999938964844,708.0999755859375,197.25,945.4500122070312,2047.1500244140625,410.1000061035156,1342.9000244140625,558.0999755859375
2020-06-03,1022.25,1541.6500244140625,356.8500061035156,701.5499877929688,196.6999969482422,961.2999877929688,2046.1500244140625,409.54998779296875,1386.550048828125,551.6500244140625
2020-06-04,1001.7000122070312,1579.800048828125,347.8500061035156,707.75,200.14999389648438,930.7000122070312,2091.550048828125,394.3500061035156,1334.4000244140625,572.4500122070312
2020-06-05,1033.3499755859375,1581.699951171875,357.20001220703125,703.5499877929688,200.0,955.25,2048.25,405.29998779296875,1337.800048828125,584.3499755859375
2020-06-08,1015.9000244140625,1569.5,359.79998779296875,720.8499755859375,197.64999389648438,961.3499755859375,2071.75,430.25,1336.75,585.1500244140625
2020-06-09,987.2999877929688,1537.1500244140625,348.54998779296875,717.5999755859375,198.5,953.2999877929688,2072.050048828125,420.04998779296875,1304.1500244140625,567.7999877929688
2020-06-10,991.8499755859375,1572.1500244140625,353.0,715.8499755859375,199.0500030517578,946.5499877929688,2108.75,427.45001220703125,1332.25,567.0999755859375
2020-06-11,968.5999755859375,1537.699951171875,341.25,703.9500122070312,194.25,930.4500122070312,2067.64990234375,413.45001220703125,1298.699951171875,551.8499755859375
2020-06-12,982.75,1588.800048828125,344.20001220703125,692.0499877929688,193.89999389648438,926.4000244140625,2039.5,408.0,1279.800048828125,560.0999755859375
2020-06-15,949.8499755859375,1614.550048828125,331.1000061035156,687.5499877929688,187.1999969482422,899.9000244140625,2029.9000244140625,389.6000061035156,1248.9000244140625,550.7000122070312
2020-06-16,990.4000244140625,1617.699951171875,342.95001220703125,701.2000122070312,185.0,895.0499877929688,2045.800048828125,381.54998779296875,1276.800048828125,544.9000244140625
2020-06-17,979.25,1615.3499755859375,341.95001220703125,703.6500244140625,181.1999969482422,884.7999877929688,2047.800048828125,389.6000061035156,1243.800048828125,563.4500122070312
2020-06-18,1019.9500122070312,1655.9000244140625,352.0,713.9000244140625,186.60000610351562,896.6500244140625,2038.0999755859375,405.3999938964844,1303.3499755859375,560.9000244140625
2020-06-19,1033.3499755859375,1759.4000244140625,363.79998779296875,705.5499877929688,184.0500030517578,898.2000122070312,2044.5999755859375,417.04998779296875,1302.5,572.5
2020-06-22,1028.75,1746.1500244140625,367.54998779296875,703.7000122070312,185.0,907.4500122070312,2027.949951171875,430.1499938964844,1355.3499755859375,581.0499877929688
2020-06-23,1042.300048828125,1720.9000244140625,376.1499938964844,720.6500244140625,185.85000610351562,967.5999755859375,2035.300048828125,443.6499938964844,1389.9000244140625,578.7999877929688
2020-06-24,1032.5,1727.8499755859375,348.1000061035156,714.1500244140625,191.85000610351562,955.5499877929688,2042.199951171875,424.6499938964844,1343.9000244140625,557.3499755859375
2020-06-25,1028.75,1717.9000244140625,351.0,700.5,202.10000610351562,943.0999755859375,2016.0999755859375,421.70001220703125,1381.699951171875,559.0
2020-06-26,1056.449951171875,1741.6500244140625,349.1000061035156,748.2000122070312,195.1999969482422,962.2000122070312,2118.85009765625,424.8500061035156,1340.0999755859375,560.4000244140625
2020-06-29,1076.050048828125,1723.1500244140625,343.1000061035156,731.75,197.25,936.5999755859375,2101.64990234375,404.79998779296875,1355.6500244140625,567.0999755859375
2020-06-30,1065.8499755859375,1704.0999755859375,351.45001220703125,735.9500122070312,194.64999389648438,943.6500244140625,2082.14990234375,406.6499938964844,1360.449951171875,559.8499755859375
2020-07-01,1084.5999755859375,1737.5999755859375,364.04998779296875,731.9000244140625,202.89999389648438,924.2999877929688,2092.050048828125,433.25,1356.75,560.1500244140625
2020-07-02,1089.4000244140625,1760.3499755859375,362.8500061035156,756.5999755859375,205.85000610351562,941.2999877929688,2157.14990234375,423.20001220703125,1352.0,558.4500122070312
2020-07-03,1073.949951171875,1787.9000244140625,361.0,762.7000122070312,207.5500030517578,944.25,2199.64990234375,428.45001220703125,1353.800048828125,581.4500122070312
2020-07-06,1103.0,1851.800048828125,361.8500061035156,764.0,199.8000030517578,951.2000122070312,2263.199951171875,434.0,1367.9000244140625,576.5999755859375
2020-07-07,1105.1500244140625,1823.449951171875,376.04998779296875,794.1500244140625,194.25,943.5999755859375,2269.89990234375,447.3500061035156,1368.25,567.1500244140625
2020-07-08,1110.3499755859375,1798.0,368.95001220703125,774.7000122070312,196.3000030517578,941.25,2218.89990234375,444.1499938964844,1352.75,561.2999877929688
2020-07-09,1124.949951171875,1824.25,370.3500061035156,781.7000122070312,195.4499969482422,944.9500122070312,2204.35009765625,453.75,1368.1500244140625,568.6500244140625
2020-07-10,1105.0999755859375,1878.050048828125,360.3500061035156,781.8499755859375,194.35000610351562,932.1500244140625,2222.35009765625,439.6000061035156,1349.3499755859375,574.7000122070312
2020-07-13,1080.25,1935.0,353.6000061035156,797.0499877929688,197.5500030517578,928.1500244140625,2220.0,440.04998779296875,1335.550048828125,586.7999877929688
2020-07-14,1058.8499755859375,1917.0,345.54998779296875,783.25,195.89999389648438,912.9000244140625,2171.949951171875,417.70001220703125,1298.300048828125,589.3499755859375
2020-07-15,1053.1500244140625,1844.0,345.79998779296875,830.9500122070312,198.6999969482422,912.2000122070312,2233.89990234375,426.6499938964844,1290.0,563.5999755859375
2020-07-16,1062.550048828125,1843.4000244140625,344.6499938964844,911.0,193.85000610351562,921.1500244140625,2234.75,434.0,1322.6500244140625,562.75
2020-07-17,1098.449951171875,1911.699951171875,353.79998779296875,903.1500244140625,194.0500030517578,925.5499877929688,2200.75,433.1000061035156,1327.449951171875,566.75
2020-07-20,1133.050048828125,1919.9000244140625,363.0,934.2999877929688,192.6999969482422,919.5999755859375,2207.89990234375,434.0,1319.050048828125,575.75
2020-07-21,1138.550048828125,1971.550048828125,378.79998779296875,936.75,192.25,938.0499877929688,2225.050048828125,446.20001220703125,1359.0,567.75
2020-07-22,1126.3499755859375,2004.0,381.1000061035156,917.9000244140625,196.5500030517578,920.9000244140625,2190.949951171875,478.95001220703125,1342.3499755859375,569.1500244140625
2020-07-23,1130.4000244140625,2057.800048828125,392.25,907.9500122070312,200.6999969482422,916.5499877929688,2171.199951171875,460.8500061035156,1374.050048828125,567.2000122070312
2020-07-24,1119.0999755859375,2146.14990234375,381.79998779296875,922.8499755859375,199.60000610351562,904.4000244140625,2157.39990234375,445.6000061035156,1350.0,559.4500122070312
2020-07-27,1079.5,2156.199951171875,358.5,948.4500122070312,196.39999389648438,903.7999877929688,2206.800048828125,431.54998779296875,1322.5999755859375,559.5
