,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2020-08-28,213.85000610351562,,476.6499938964844,33.75,,11.649999618530273,40.0,80.30000305175781,35.5,35.900001525878906
2020-08-31,203.5500030517578,,452.6000061035156,31.75,,11.100000381469727,38.0,77.30000305175781,33.79999923706055,35.349998474121094
2020-09-01,201.8000030517578,,466.29998779296875,31.450000762939453,,10.550000190734863,37.20000076293945,76.3499984741211,33.20000076293945,34.099998474121094
2020-09-02,218.14999389648438,,479.20001220703125,32.29999923706055,,10.949999809265137,37.599998474121094,77.25,34.849998474121094,35.5
2020-09-03,220.25,,477.04998779296875,30.799999237060547,,11.449999809265137,36.650001525878906,79.05000305175781,36.5,35.400001525878906
2020-09-04,220.39999389648438,,476.5,30.200000762939453,,12.0,36.45000076293945,77.5,35.75,35.0
2020-09-07,223.9499969482422,,481.3500061035156,30.200000762939453,,12.600000381469727,35.75,77.9000015258789,34.25,35.54999923706055
2020-09-08,213.75,,474.29998779296875,29.75,,13.199999809265137,35.599998474121094,78.1500015258789,33.099998474121094,35.150001525878906
2020-09-09,221.5500030517578,,464.45001220703125,29.549999237060547,,13.850000381469727,34.75,77.44999694824219,31.899999618530273,34.650001525878906
2020-09-10,223.14999389648438,,480.54998779296875,30.799999237060547,,13.649999618530273,36.45000076293945,79.8499984741211,33.45000076293945,34.75
2020-09-11,218.10000610351562,,486.8999938964844,30.5,,14.300000190734863,35.79999923706055,78.6500015258789,33.900001525878906,34.5
2020-09-14,216.1999969482422,,499.3500061035156,31.299999237060547,,15.0,35.900001525878906,83.6500015258789,34.0,34.650001525878906
2020-09-15,217.4499969482422,,495.8500061035156,31.5,,15.449999809265137,35.79999923706055,83.0999984741211,33.54999923706055,34.599998474121094
2020-09-16,215.85000610351562,,479.04998779296875,30.700000762939453,,14.699999809265137,35.400001525878906,81.69999694824219,33.599998474121094,34.900001525878906
2020-09-17,221.10000610351562,,474.04998779296875,32.099998474121094,,14.0,36.95000076293945,82.55000305175781,32.900001525878906,34.45000076293945
2020-09-18,220.3000030517578,,484.5,32.20000076293945,,14.699999809265137,36.79999923706055,81.8499984741211,32.75,34.54999923706055
2020-09-21,210.6999969482422,,474.6000061035156,30.0,,14.0,35.0,81.30000305175781,31.200000762939453,34.45000076293945
2020-09-22,197.10000610351562,,479.8999938964844,29.600000381469727,,13.300000190734863,33.25,78.94999694824219,30.5,34.04999923706055
2020-09-23,191.8000030517578,,460.70001220703125,29.350000381469727,,12.649999618530273,32.45000076293945,78.69999694824219,29.75,33.5
2020-09-24,190.35000610351562,,442.70001220703125,28.350000381469727,,12.050000190734863,31.850000381469727,75.4000015258789,28.399999618530273,32.5
2020-09-25,198.1999969482422,,458.0,28.850000381469727,,12.649999618530273,32.900001525878906,76.8499984741211,29.700000762939453,32.5
2020-09-28,208.75,,467.6499938964844,28.950000762939453,,13.25,33.099998474121094,77.0,31.149999618530273,33.25
2020-09-29,207.8000030517578,,470.8999938964844,28.75,,13.899999618530273,32.849998474121094,76.30000305175781,30.700000762939453,32.900001525878906
2020-09-30,208.89999389648438,,465.6499938964844,28.600000381469727,,13.550000190734863,33.04999923706055,76.05000305175781,29.850000381469727,31.950000762939453
