,SBIN.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,INDIANB.NS,BANKINDIA.NS,MAHABANK.NS,IOB.NS,CENTRALBK.NS
2019-08-20,283.70001220703125,98.69999694824219,65.5999984741211,225.25,61.75,179.5500030517578,66.55000305175781,11.850000381469727,9.899999618530273,19.200000762939453
2019-08-21,277.3999938964844,94.8499984741211,64.05000305175781,219.8000030517578,60.25,173.64999389648438,65.05000305175781,11.649999618530273,9.75,18.549999237060547
2019-08-22,268.54998779296875,90.6500015258789,61.45000076293945,209.8000030517578,58.54999923706055,167.3000030517578,62.400001525878906,11.300000190734863,9.199999809265137,18.100000381469727
2019-08-23,271.1000061035156,93.5,63.599998474121094,216.6999969482422,59.400001525878906,166.5,64.4000015258789,11.399999618530273,9.399999618530273,17.850000381469727
2019-08-26,280.20001220703125,95.05000305175781,65.75,223.8000030517578,61.45000076293945,183.60000610351562,66.8499984741211,12.050000190734863,10.100000381469727,19.600000381469727
2019-08-27,285.70001220703125,97.30000305175781,67.1500015258789,229.5500030517578,62.650001525878906,192.60000610351562,69.30000305175781,12.100000381469727,10.300000190734863,20.049999237060547
2019-08-28,284.8999938964844,94.5,65.6500015258789,226.89999389648438,60.29999923706055,196.3000030517578,67.69999694824219,12.0,10.100000381469727,19.549999237060547
2019-08-29,274.5,91.80000305175781,65.05000305175781,220.60000610351562,59.650001525878906,191.3000030517578,65.9000015258789,11.75,10.0,18.950000762939453
2019-08-30,273.8500061035156,92.5999984741211,64.9000015258789,220.60000610351562,58.849998474121094,199.89999389648438,65.55000305175781,12.550000190734863,10.449999809265137,19.75
2019-09-03,268.3999938964844,91.44999694824219,59.400001525878906,197.0,53.599998474121094,176.5500030517578,62.849998474121094,12.199999809265137,10.149999618530273,18.850000381469727
2019-09-04,275.1000061035156,93.30000305175781,59.900001525878906,192.64999389648438,53.70000076293945,166.60000610351562,63.849998474121094,12.100000381469727,10.0,18.950000762939453
2019-09-05,273.29998779296875,93.75,61.099998474121094,191.5500030517578,54.54999923706055,166.35000610351562,63.70000076293945,12.0,10.050000190734863,18.950000762939453
2019-09-06,273.95001220703125,94.4000015258789,61.29999923706055,191.6999969482422,55.099998474121094,164.35000610351562,63.70000076293945,11.949999809265137,9.949999809265137,19.0
2019-09-09,278.0,95.55000305175781,62.599998474121094,197.9499969482422,56.29999923706055,165.5500030517578,66.0999984741211,11.899999618530273,9.850000381469727,19.100000381469727
2019-09-11,285.25,99.05000305175781,64.8499984741211,204.5,59.70000076293945,167.3000030517578,68.1500015258789,12.0,10.149999618530273,19.5
2019-09-12,287.04998779296875,101.0999984741211,64.55000305175781,203.5,59.150001525878906,166.25,68.25,12.100000381469727,10.0,19.600000381469727
2019-09-13,291.70001220703125,99.94999694824219,64.9000015258789,203.39999389648438,59.349998474121094,165.14999389648438,69.0999984741211,12.149999618530273,10.0,19.600000381469727
2019-09-16,284.70001220703125,98.8499984741211,64.55000305175781,203.1999969482422,59.150001525878906,164.0,68.4000015258789,12.050000190734863,10.100000381469727,19.799999237060547
2019-09-17,273.95001220703125,95.1500015258789,62.400001525878906,194.0500030517578,56.25,159.39999389648438,64.75,11.949999809265137,9.899999618530273,19.75
2019-09-18,280.3999938964844,95.94999694824219,62.95000076293945,195.9499969482422,56.79999923706055,159.10000610351562,64.94999694824219,12.100000381469727,9.800000190734863,19.700000762939453
2019-09-19,274.04998779296875,94.5999984741211,61.95000076293945,189.85000610351562,55.5,153.4499969482422,63.400001525878906,11.850000381469727,9.699999809265137,19.149999618530273
2019-09-20,301.70001220703125,100.30000305175781,65.69999694824219,201.60000610351562,59.5,155.0,68.6500015258789,12.0,10.199999809265137,19.700000762939453
2019-09-23,313.75,100.69999694824219,66.8499984741211,209.75,61.04999923706055,152.0,71.5999984741211,12.100000381469727,10.100000381469727,20.25
2019-09-24,302.6000061035156,99.19999694824219,66.1500015258789,203.25,59.900001525878906,148.0,70.5999984741211,11.899999618530273,10.25,19.950000762939453
2019-09-25,280.25,93.5,63.29999923706055,191.75,56.349998474121094,142.1999969482422,66.44999694824219,11.75,10.050000190734863,19.549999237060547
2019-09-26,281.8500061035156,95.75,62.79999923706055,192.6999969482422,56.54999923706055,138.35000610351562,67.80000305175781,11.550000190734863,10.050000190734863,19.600000381469727
2019-09-27,281.20001220703125,95.0999984741211,62.849998474121094,189.60000610351562,55.900001525878906,133.5,66.19999694824219,11.449999809265137,9.850000381469727,19.200000762939453
2019-09-30,270.79998779296875,93.05000305175781,61.95000076293945,182.39999389648438,52.79999923706055,125.30000305175781,62.95000076293945,11.050000190734863,9.399999618530273,18.049999237060547
2019-10-01,255.9499969482422,91.30000305175781,58.70000076293945,178.10000610351562,50.900001525878906,118.19999694824219,61.099998474121094,11.050000190734863,9.550000190734863,17.899999618530273
2019-10-03,254.14999389648438,90.9000015258789,59.04999923706055,181.39999389648438,51.5,121.0,61.900001525878906,11.050000190734863,9.600000381469727,17.799999237060547
2019-10-04,249.9499969482422,88.5999984741211,57.95000076293945,180.0,50.45000076293945,119.5999984741211,60.349998474121094,11.050000190734863,9.649999618530273,17.75
2019-10-07,249.10000610351562,87.25,57.25,179.39999389648438,49.599998474121094,118.80000305175781,59.5,11.0,9.600000381469727,17.450000762939453
2019-10-09,260.95001220703125,91.05000305175781,58.45000076293945,184.25,51.150001525878906,116.9000015258789,61.599998474121094,10.800000190734863,9.600000381469727,17.25
2019-10-10,254.14999389648438,87.80000305175781,56.45000076293945,178.10000610351562,49.099998474121094,113.6500015258789,59.900001525878906,10.350000381469727,9.550000190734863,17.049999237060547
2019-10-11,254.5500030517578,90.8499984741211,56.900001525878906,179.0500030517578,49.0,111.9000015258789,59.5,10.350000381469727,9.5,17.0
