,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2020-09-03,2112.10009765625,79.05000305175781,413.3999938964844,56.733333587646484,65.4000015258789,189.85000610351562,199.8000030517578,239.10000610351562,409.20001220703125
2020-09-04,2077.25,77.9000015258789,403.3500061035156,55.93333435058594,65.36666870117188,187.89999389648438,197.10000610351562,235.14999389648438,400.79998779296875
2020-09-07,2082.64990234375,76.44999694824219,400.20001220703125,55.86666488647461,63.83333206176758,194.85000610351562,197.4499969482422,236.89999389648438,397.75
2020-09-08,2107.10009765625,74.44999694824219,412.1000061035156,55.166664123535156,63.03333282470703,191.0500030517578,198.6999969482422,235.4499969482422,390.29998779296875
2020-09-09,2161.35009765625,72.69999694824219,405.95001220703125,53.70000076293945,60.70000076293945,198.1999969482422,193.75,235.5500030517578,391.5
2020-09-10,2314.0,73.6500015258789,430.29998779296875,55.70000076293945,60.53333282470703,208.3000030517578,201.1999969482422,236.3000030517578,388.29998779296875
2020-09-11,2319.75,73.30000305175781,428.75,55.400001525878906,60.5,207.35000610351562,199.14999389648438,236.14999389648438,403.1499938964844
2020-09-14,2302.550048828125,73.6500015258789,417.1499938964844,55.133331298828125,61.29999923706055,204.25,196.0500030517578,236.6999969482422,408.79998779296875
2020-09-15,2318.85009765625,73.80000305175781,414.3999938964844,54.83333206176758,61.400001525878906,207.14999389648438,198.25,240.5,419.8500061035156
2020-09-16,2324.550048828125,73.05000305175781,413.04998779296875,55.133331298828125,61.233333587646484,204.75,195.39999389648438,237.6999969482422,413.20001220703125
2020-09-17,2298.75,73.1500015258789,415.6000061035156,54.53333282470703,60.5,200.39999389648438,196.85000610351562,233.85000610351562,418.6000061035156
2020-09-18,2305.699951171875,74.30000305175781,412.04998779296875,53.79999923706055,61.400001525878906,193.3000030517578,194.0500030517578,228.1999969482422,420.0
2020-09-21,2255.85009765625,71.1500015258789,401.45001220703125,51.79999923706055,58.79999923706055,186.3000030517578,189.1999969482422,224.5,415.20001220703125
2020-09-22,2211.14990234375,69.5,392.1499938964844,50.766666412353516,56.099998474121094,188.4499969482422,180.39999389648438,220.0500030517578,410.75
2020-09-23,2230.800048828125,67.6500015258789,387.6499938964844,50.633331298828125,57.133331298828125,186.39999389648438,177.35000610351562,215.5500030517578,407.6499938964844
2020-09-24,2181.199951171875,66.6500015258789,377.25,48.0,55.33333206176758,175.25,172.3000030517578,210.6999969482422,393.25
2020-09-25,2201.699951171875,68.9000015258789,375.75,49.400001525878906,56.79999923706055,183.75,178.60000610351562,219.25,403.25
2020-09-28,2216.25,71.8499984741211,385.1499938964844,50.43333435058594,58.79999923706055,190.1999969482422,184.0,222.39999389648438,403.8500061035156
2020-09-29,2245.050048828125,69.1500015258789,386.54998779296875,49.900001525878906,58.33333206176758,191.35000610351562,184.8000030517578,219.60000610351562,391.25
2020-09-30,2234.35009765625,69.25,353.04998779296875,49.266666412353516,57.86666488647461,189.1999969482422,180.64999389648438,220.64999389648438,386.79998779296875
2020-10-01,2225.25,69.1500015258789,353.29998779296875,49.400001525878906,58.93333435058594,193.35000610351562,175.5,220.6999969482422,401.1000061035156
