,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2019-10-10,142.4499969482422,978.5499877929688,697.9500122070312,,495.3999938964844,277.0,196.35000610351562,145.71665954589844,41.349998474121094,429.8500061035156
2019-10-11,145.60000610351562,991.1500244140625,695.0,,496.1499938964844,277.04998779296875,194.1999969482422,148.1666717529297,43.400001525878906,436.8999938964844
2019-10-14,154.85000610351562,996.2000122070312,694.1500244140625,,495.95001220703125,280.29998779296875,190.8000030517578,148.61666870117188,45.54999923706055,442.3999938964844
2019-10-15,156.14999389648438,987.2000122070312,694.5999755859375,,504.95001220703125,291.25,190.25,145.75,44.45000076293945,446.45001220703125
2019-10-16,159.75,990.2000122070312,695.4500122070312,,507.1000061035156,293.8500061035156,190.75,146.98333740234375,42.25,455.29998779296875
2019-10-17,163.85000610351562,991.2999877929688,700.6500244140625,,515.3499755859375,286.20001220703125,191.3000030517578,144.81666564941406,44.29999923706055,455.8500061035156
2019-10-18,168.85000610351562,974.9500122070312,721.2000122070312,,540.0499877929688,298.29998779296875,197.9499969482422,142.61666870117188,46.5,451.70001220703125
2019-10-22,178.1999969482422,966.9500122070312,733.5499877929688,,512.9000244140625,291.8999938964844,195.14999389648438,141.81666564941406,48.79999923706055,443.25
2019-10-23,174.9499969482422,949.7000122070312,724.7999877929688,,494.25,307.95001220703125,200.8000030517578,134.4499969482422,50.099998474121094,436.6000061035156
2019-10-24,176.5,985.9000244140625,734.2000122070312,,500.0,304.25,192.75,137.01666259765625,49.849998474121094,433.70001220703125
2019-10-25,181.0,975.3499755859375,722.9000244140625,,504.79998779296875,299.79998779296875,190.4499969482422,141.75,49.900001525878906,422.8999938964844
2019-10-27,179.8000030517578,983.7999877929688,733.4000244140625,,499.8500061035156,301.70001220703125,188.5500030517578,142.53334045410156,48.900001525878906,431.25
2019-10-29,180.9499969482422,1001.0,731.9500122070312,,500.1000061035156,303.8999938964844,195.8000030517578,141.73333740234375,51.29999923706055,433.3500061035156
2019-10-30,181.5500030517578,993.5499877929688,718.5999755859375,,492.04998779296875,293.20001220703125,206.5,138.31666564941406,52.900001525878906,425.8500061035156
2019-10-31,183.3000030517578,997.2999877929688,720.0,,506.8999938964844,302.20001220703125,206.25,138.28334045410156,55.20000076293945,423.54998779296875
2019-11-01,185.14999389648438,1000.0,718.0999755859375,,511.0,305.79998779296875,206.39999389648438,137.39999389648438,57.95000076293945,425.79998779296875
2019-11-04,184.3000030517578,985.7000122070312,719.2999877929688,,500.54998779296875,303.54998779296875,208.0,135.64999389648438,60.75,415.95001220703125
2019-11-05,184.35000610351562,955.1500244140625,705.25,,500.1000061035156,299.8999938964844,205.5500030517578,134.14999389648438,63.75,413.70001220703125
2019-11-06,191.5,985.7999877929688,700.0,,505.0,307.6499938964844,205.4499969482422,133.14999389648438,66.9000015258789,433.3500061035156
2019-11-07,192.5,989.7999877929688,715.5499877929688,,509.45001220703125,311.79998779296875,207.25,130.76666259765625,70.19999694824219,439.79998779296875
2019-11-08,203.10000610351562,961.25,731.75,,515.0499877929688,310.29998779296875,212.89999389648438,126.81666564941406,73.0,442.45001220703125
2019-11-11,207.64999389648438,947.0,742.25,,522.9500122070312,306.8999938964844,217.0500030517578,127.05000305175781,75.94999694824219,427.45001220703125
2019-11-13,202.1999969482422,933.7999877929688,725.2999877929688,,520.4000244140625,300.6000061035156,215.60000610351562,132.51666259765625,77.75,401.8999938964844
2019-11-14,208.89999389648438,919.7000122070312,711.7999877929688,,516.25,300.3999938964844,206.64999389648438,131.64999389648438,73.9000015258789,395.54998779296875
2019-11-15,211.75,906.5999755859375,713.4000244140625,,510.6499938964844,288.45001220703125,213.5500030517578,131.1666717529297,72.6500015258789,396.70001220703125
2019-11-18,216.0,890.2000122070312,733.5999755859375,,507.54998779296875,290.5,214.4499969482422,131.71665954589844,70.0,399.5
2019-11-19,214.9499969482422,882.5499877929688,735.75,,514.25,298.70001220703125,213.14999389648438,130.73333740234375,69.30000305175781,398.1499938964844
2019-11-20,212.10000610351562,861.0,708.5999755859375,,515.4000244140625,297.45001220703125,209.0,129.21665954589844,67.25,398.3999938964844
2019-11-21,216.85000610351562,859.5,721.1500244140625,,506.54998779296875,292.3999938964844,207.89999389648438,128.71665954589844,70.30000305175781,397.04998779296875
2019-11-22,217.25,892.3499755859375,714.5999755859375,,504.79998779296875,289.3500061035156,200.3000030517578,128.89999389648438,69.25,400.04998779296875
2019-11-25,220.35000610351562,898.0999755859375,775.7000122070312,,506.20001220703125,301.8999938964844,199.64999389648438,129.0,69.8499984741211,397.6499938964844
2019-11-26,220.0500030517578,898.75,760.7999877929688,,501.6000061035156,295.5,194.75,129.61666870117188,68.94999694824219,385.8999938964844
2019-11-27,215.85000610351562,904.5999755859375,750.8499755859375,,496.29998779296875,298.70001220703125,195.8000030517578,129.51666259765625,68.19999694824219,392.1000061035156
2019-11-28,217.9499969482422,899.75,743.0999755859375,,507.79998779296875,300.8500061035156,200.85000610351562,128.23333740234375,71.5999984741211,404.70001220703125
2019-11-29,219.6999969482422,908.7999877929688,752.5999755859375,,516.9000244140625,303.79998779296875,205.0,128.14999389648438,68.05000305175781,414.79998779296875
2019-12-02,218.10000610351562,894.3499755859375,752.2999877929688,,513.5,322.8999938964844,201.75,127.19999694824219,65.19999694824219,410.70001220703125
2019-12-03,218.89999389648438,899.4500122070312,746.75,,535.2999877929688,352.8999938964844,199.9499969482422,126.0999984741211,64.05000305175781,399.25
2019-12-04,220.25,899.4000244140625,767.5499877929688,,541.9500122070312,332.8500061035156,202.9499969482422,125.44999694824219,63.150001525878906,396.04998779296875
2019-12-05,221.10000610351562,896.7999877929688,755.2999877929688,,554.4000244140625,333.1000061035156,200.85000610351562,123.88333129882812,63.04999923706055,401.1000061035156
